?Codigo;Descricao;Unidade
220114;"CHAVE CANHAO ISOL 1000V SEXT  1/2""""X125";UN
220116;"CHAVE  ALLEN ISO  1000V SEXT 5/16""X125";UN
230054;POSTE CONC CIRC 16/1000 GSS002/12;CDA
230055;POSTE CONC CIRC 14/2000 GSS002/11;CDA
230056;POSTE CONC CIRC 14/600 GSS002/10;CDA
230057;POSTE CONC CIRC 14/1000 GSS002/09;CDA
230059;POSTE CONC CIRC 12/2.000 GSS002/07;CDA
230060;POSTE CONC CIRC 12/1000 GSS002/06;CDA
230061;POSTE CONC CIRC 12/600 GSS002/05;CDA
230062;POSTE CONC CIRC 12/300 GSS002/04;CDA
230064;POSTE CONC CIRC 10/600 GSS002/02;CDA
230065;POSTE CONC CIRC 10/300 GSS002/01;CDA
230066;POSTE CONC CIRC 16/2000 GSS002/13;CDA
230207;POSTE FIBRA 12MX1000 GSS004/32;CDA
230209;POSTE FIBRA 14MX600 GSS004/20;CDA
230210;POSTE FIBRA 12MX600 GSS004/19;CDA
230211;POSTE FIBRA 10MX600 GSS004/18;CDA
230212;POSTE FIBRA 12MX300 GSS004/06;CDA
230213;POSTE FIBRA 10MX300 GSS004/05;CDA
230349;Lençol de borracha isolante de 15 kv sem;PI
230350;BASTAO GARRA FB VIDRO 38X2670MM;PI
230356;Poste Telescópico Provisório;CDA
230366;Cavalete Dobrável;CDA
230367;CRUZETA POLIM 2000MM RETAN D315.01;CDA
